search_id,database,query,search_date,date_start,date_end,result_count,export_file,notes,verified
pilot-ss-20260716,Semantic Scholar,world model latent dynamics anomaly detection prognostics remaining useful life industrial,2026-07-16,2024-01-01,2026-12-31,5,TODO,pilot_search; API result count captured; query is exploratory and not exhaustive,true
pilot-arxiv-20260716,arXiv,world model latent dynamics anomaly detection prognostics remaining useful life industrial,2026-07-16,2024-01-01,2026-12-31,5,TODO,pilot_search; API result count captured; query is exploratory and not exhaustive,true
pilot-crossref-20260716,Crossref,world model latent dynamics anomaly detection prognostics remaining useful life industrial,2026-07-16,2024-01-01,2026-12-31,5,TODO,pilot_search; API result count captured; query is exploratory and not exhaustive,true
pilot-dblp-20260716,DBLP,world model latent dynamics anomaly detection prognostics remaining useful life industrial,2026-07-16,2024-01-01,2026-12-31,0,TODO,pilot_search; API returned no matches for this narrow query; not exhaustive,true
pilot-openreview-20260716,OpenReview,world model latent dynamics anomaly detection prognostics remaining useful life industrial,2026-07-16,2024-01-01,2026-12-31,0,TODO,pilot_search; API returned no matches for this narrow query; not exhaustive,true
pilot-openalex-20260716,OpenAlex,world model latent dynamics anomaly detection prognostics remaining useful life industrial,2026-07-16,2024-01-01,2026-12-31,TODO,TODO,pilot_search; client import failed before a reliable count was available,false
pilot-web-wm-anomaly-20260716,Web search,site:arxiv.org world model anomaly detection industrial,2026-07-16,TODO,TODO,TODO,TODO,pilot_search; exact result count was not exposed; used to identify accessible full-text boundary candidates,false
pilot-web-rul-latent-20260716,Web search,site:arxiv.org latent dynamics remaining useful life,2026-07-16,TODO,TODO,TODO,TODO,pilot_search; exact result count was not exposed; used to identify degradation and RUL candidates,false
pilot-web-rul-state-space-20260716,Web search,site:arxiv.org state space remaining useful life deep learning,2026-07-16,TODO,TODO,TODO,TODO,pilot_search; exact result count was not exposed; exploratory and not exhaustive,false
pilot-web-rul-neural-ode-20260716,Web search,site:arxiv.org prognostics neural ODE remaining useful life,2026-07-16,TODO,TODO,TODO,TODO,pilot_search; exact result count was not exposed; exploratory and not exhaustive,false
